Literals;Index;ASPSimpleTime;ASPSimpleTimeout;ASPSimpleStatus;ASPGeneralTime;ASPGeneralTimeout;ASPGeneralStatus
60;85;0,26579952239990234;0;0;1,6585884094238281;0;0
120;88;;1;;;1;
80;55;1,249730110168457;0;0;9,634536504745483;0;0
80;77;1,9209113121032715;0;5;26,897435903549194;0;5
70;70;0,5566446781158447;0;0;3,6670475006103516;0;0
60;37;5,999413251876831;0;2;;1;
100;17;;1;;;1;
80;49;17,575432538986206;0;9;;1;
100;89;;1;;;1;
80;64;1,252990484237671;0;0;10,54176640510559;0;0
70;30;2,5480778217315674;0;3;34,3382830619812;0;3
120;55;;1;;;1;
90;78;6,831510066986084;0;0;45,147220611572266;0;0
60;98;0,5271666049957275;0;5;5,236883878707886;0;5
120;93;0,020904064178466797;0;0;0,5073056221008301;0;0
110;68;;1;;;1;
50;9;0,02794671058654785;0;2;0,1796119213104248;0;2
70;80;0,5542149543762207;0;0;3,7850124835968018;0;0
60;82;0,14329147338867188;0;1;0,7563130855560303;0;1
70;60;0,549067497253418;0;0;3,344958543777466;0;0
90;20;0,0169374942779541;0;0;0,24601531028747559;0;0
110;2;;1;;;1;
110;26;;1;;;1;
70;65;1,5232858657836914;0;5;21,300752878189087;0;5
100;96;;1;;;1;
90;13;57,26949214935303;0;4;;1;
80;86;8,429139137268066;0;2;;1;
50;65;0,09899258613586426;0;0;0,30217504501342773;0;0
120;14;;1;;;1;
100;54;;1;;;1;
50;78;0,28018999099731445;0;5;3,2143125534057617;0;5
70;54;1,4646003246307373;0;1;24,488438844680786;0;1
110;9;;1;;;1;
100;90;55,749791860580444;0;0;;1;
90;31;3,9595694541931152;0;0;57,1332049369812;0;0
100;99;;1;;;1;
100;21;;1;;;1;
70;83;0,6343424320220947;0;0;4,314450979232788;0;0
50;43;0,012464761734008789;0;0;0,07915282249450684;0;0
100;94;0,019570589065551758;0;0;0,4169797897338867;0;0
120;92;;1;;;1;
70;9;17,255850315093994;0;5;;1;
50;33;0,1111748218536377;0;0;0,5139033794403076;0;0
110;95;;1;;;1;
70;33;2,92360782623291;0;11;;1;
60;41;0,0135955810546875;0;0;0,11035799980163574;0;0
70;12;0,014592409133911133;0;0;0,16291141510009766;0;0
120;12;;1;;;1;
50;80;0,07783293724060059;0;7;0,45166850090026855;0;7
90;82;4,956040859222412;0;2;31,7638099193573;0;2
110;89;;1;;;1;
80;45;1,2791104316711426;0;0;11,68250560760498;0;0
90;74;;1;;;1;
100;48;12,220611810684204;0;2;;1;
70;61;0,014863729476928711;0;0;0,1636345386505127;0;0
50;60;0,07572555541992188;0;1;0,26256752014160156;0;1
60;51;0,27371668815612793;0;0;1,4753363132476807;0;0
