Literals;Index;ASPSimpleTime;ASPSimpleTimeout;ASPSimpleStatus;ASPGeneralTime;ASPGeneralTimeout;ASPGeneralStatus
50;47;0,12727832794189453;0;4;0,7908809185028076;0;4
80;2;;1;;7,968219995498657;0;1
110;88;59,08192992210388;0;0;;1;
80;93;1,295335292816162;0;0;9,355942487716675;0;0
90;2;5,949836254119873;0;0;54,99628567695618;0;0
100;73;20,065286874771118;0;0;;1;
90;91;0,017279863357543945;0;0;0,22881746292114258;0;0
110;26;;1;;;1;
120;15;;1;;;1;
60;4;0,2776205539703369;0;0;1,9681637287139893;0;0
110;18;57,54696583747864;0;0;;1;
120;1;;1;;;1;
70;64;0,5366458892822266;0;0;2,1145498752593994;0;0
120;20;;1;;;1;
80;42;1,3323235511779785;0;0;11,730963468551636;0;0
60;46;0,14789772033691406;0;1;1,0283427238464355;0;1
110;35;;1;;;1;
50;0;0,012323141098022461;0;0;0,06009817123413086;0;0
50;7;0,09255552291870117;0;1;0,3174614906311035;0;1
100;75;29,935314178466797;0;0;;1;
110;8;;1;;;1;
100;10;25,04683780670166;0;0;;1;
60;87;0,26452088356018066;0;0;1,3502979278564453;0;0
100;55;;1;;;1;
50;71;0,12266945838928223;0;0;0,24270272254943848;0;0
50;42;0,1007230281829834;0;0;0,5059823989868164;0;0
80;45;;1;;;1;
100;59;22,26912546157837;0;1;;1;
60;63;0,2800116539001465;0;0;1,254770040512085;0;0
100;84;20,32698392868042;0;0;;1;
90;76;1,9577031135559082;0;1;17,86052417755127;0;1
60;51;0,26940393447875977;0;0;1,112117052078247;0;0
100;58;41,333362340927124;0;0;;1;
90;73;7,510432720184326;0;0;47,416900873184204;0;0
120;38;;1;;;1;
50;93;0,09228038787841797;0;1;0,32457804679870605;0;1
50;50;0,5211567878723145;0;1;3,5334291458129883;0;1
110;47;;1;;;1;
70;81;1,5213499069213867;0;1;55,29370379447937;0;1
100;35;7,681375503540039;0;1;;1;
50;52;0,08070993423461914;0;0;0,43792033195495605;0;0
70;23;24,277167558670044;0;1;;1;
70;87;0,5473990440368652;0;0;2,269282579421997;0;0
80;64;1,3140997886657715;0;0;11,870167970657349;0;0
120;89;;1;;;1;
50;56;0,012451648712158203;0;0;0,06649303436279297;0;0
90;4;4,019126653671265;0;0;28,859700918197632;0;0
100;9;7,856466770172119;0;1;;1;
80;54;1,2999579906463623;0;0;11,205461263656616;0;0
60;42;0,46407198905944824;0;4;3,945815086364746;0;4
120;73;;1;;;1;
80;57;0,6419336795806885;0;1;4,311813592910767;0;1
120;13;;1;;;1;
110;87;;1;;;1;
110;33;;1;;;1;
120;74;0,020066499710083008;0;0;0,3853485584259033;0;0
90;52;0,01681065559387207;0;0;0,1905527114868164;0;0
80;94;30,028160572052002;0;2;;1;
110;34;;1;;;1;
100;6;18,772275924682617;0;1;;1;
100;57;47,17404890060425;0;1;;1;
120;50;;1;;;1;
120;26;;1;;;1;
100;3;7,609719276428223;0;1;;1;
80;97;1,3094141483306885;0;0;7,8985207080841064;0;0
80;48;1,3280971050262451;0;0;9,631176710128784;0;0
100;24;20,240834951400757;0;0;;1;
70;7;0,5440268516540527;0;1;1,5563297271728516;0;1
110;25;53,674482107162476;0;1;;1;
120;16;;1;;;1;
80;71;0,6166932582855225;0;1;4,135569095611572;0;1
60;45;0,260223388671875;0;0;1,3658912181854248;0;0
100;7;;1;;;1;
120;45;0,0202329158782959;0;0;0,3681766986846924;0;0
90;84;0,017656564712524414;0;0;0,22757434844970703;0;0
110;0;;1;;;1;
110;51;;1;;;1;
90;89;0,017028331756591797;0;0;0,21048355102539062;0;0
70;61;0,5663526058197021;0;0;3,203824758529663;0;0
90;53;4,411942958831787;0;0;32,6545774936676;0;0
70;34;0,2884485721588135;0;1;2,0846681594848633;0;1
60;32;0,26392579078674316;0;0;0,9055564403533936;0;0
120;27;;1;;;1;
90;46;4,22778582572937;0;0;;1;
90;32;3,341240167617798;0;0;27,939591884613037;0;0
50;79;0,011968135833740234;0;0;0,07309460639953613;0;0
70;73;0,5761046409606934;0;0;3,5345237255096436;0;0
120;63;;1;;;1;
80;61;1,2816450595855713;0;0;7,542905807495117;0;0
60;58;3,984567642211914;0;1;;1;
100;86;;1;;;1;
100;34;37,376779317855835;0;0;;1;
120;39;0,02095651626586914;0;0;0,45065879821777344;0;0
60;95;0,27228856086730957;0;0;1,0863432884216309;0;0
80;63;;1;;;1;
120;44;;1;;;1;
50;43;0,059734344482421875;0;1;0,31638026237487793;0;1
90;5;;1;;;1;
100;88;44,817497968673706;0;0;;1;
50;34;0,11731648445129395;0;0;0,43800878524780273;0;0
80;77;1,2986743450164795;0;0;9,34217619895935;0;0
50;41;0,012658119201660156;0;0;0,07133984565734863;0;0
70;35;0,5704784393310547;0;0;2,841959238052368;0;0
120;99;0,020610332489013672;0;0;0,46916675567626953;0;0
120;7;0,020563602447509766;0;0;0,4265100955963135;0;0
60;29;0,31253933906555176;0;1;48,26651310920715;0;1
110;1;;1;;;1;
60;68;0,051398515701293945;0;4;0,3169891834259033;0;4
90;88;3,616877794265747;0;0;40,58174777030945;0;0
100;33;29,16233730316162;0;1;;1;
100;13;24,420316219329834;0;0;;1;
100;87;;1;;;1;
80;40;4,989245891571045;0;1;;1;
90;31;3,1958930492401123;0;3;20,199843883514404;0;3
70;32;13,461012601852417;0;1;;1;
120;94;;1;;;1;
70;11;11,545161485671997;0;1;;1;
110;6;;1;;;1;
60;71;0,2597846984863281;0;0;1,0995452404022217;0;0
80;86;1,264803171157837;0;0;6,841516733169556;0;0
70;22;25,830771923065186;0;1;;1;
100;91;;1;;;1;
90;40;0,01688838005065918;0;0;0,21151518821716309;0;0
60;67;0,27637743949890137;0;0;1,1151502132415771;0;0
90;43;3,9768002033233643;0;0;34,15391707420349;0;0
70;48;0,5739834308624268;0;0;3,311814069747925;0;0
80;74;0,015472650527954102;0;0;0,14248251914978027;0;0
50;2;0,11207032203674316;0;0;0,39608120918273926;0;0
110;45;;1;;;1;
60;73;0,27474308013916016;0;0;1,091456413269043;0;0
90;8;35,029030323028564;0;3;;1;
120;85;;1;;;1;
110;98;;1;;;1;
90;48;5,7704386711120605;0;0;52,66978216171265;0;0
70;30;0,5889451503753662;0;0;3,9722533226013184;0;0
70;59;0,5815513134002686;0;0;3,8400886058807373;0;0
90;57;6,040562629699707;0;1;49,44043970108032;0;1
110;55;;1;;;1;
80;91;;1;;;1;
70;51;0,31309008598327637;0;1;3,1765377521514893;0;1
60;55;0,6249711513519287;0;1;5,892332553863525;0;1
110;40;;1;;;1;
90;92;7,635777950286865;0;0;35,389925718307495;0;0
80;30;;1;;;1;
